id,RAJ2000,DEJ2000,release,brickid,objid,type,pstar,gmmcomp,zphot,e_zphot,fclean,fqual,label
8000492687002644.0,220.753148290332,29.27855385133,8000.0,492687.0,2644.0,PSF,0.0020000000949949026,P9,1.4550000429153442,0.5149999856948853,1.0,0.0,Strong Gravitational Lensing
8001643485000017.0,228.889632778442,70.63665823605,8001.0,643485.0,17.0,DEV,0.023000000044703484,D2,0.14399999380111694,0.008999999612569809,1.0,1.0,Strong Gravitational Lensing
8000464388000535.0,243.994910131735,23.649091388564,8000.0,464388.0,535.0,DEV,0.5289999842643738,D3,0.3019999861717224,0.09799999743700027,1.0,1.0,Strong Gravitational Lensing
8001613944000935.0,245.872474938906,58.680382121222,8001.0,613944.0,935.0,PSF,0.9909999966621399,P8,5.449999809265137,0.6240000128746033,1.0,0.0,Strong Gravitational Lensing
8000464424003873.0,253.692564499123,23.812392227358,8000.0,464424.0,3873.0,PSF,0.9990000128746033,P2,0.7829999923706055,1.8600000143051147,1.0,0.0,Strong Gravitational Lensing
8000463362005259.0,324.081616659671,23.597800488174,8000.0,463362.0,5259.0,REX,0.21400000154972076,R7,0.5619999766349792,0.19099999964237213,1.0,1.0,Strong Gravitational Lensing
8000100867001294.0,334.159534539297,-44.332090413435,8000.0,100867.0,1294.0,EXP,0.0020000000949949026,E3,0.43299999833106995,0.0689999982714653,1.0,1.0,Strong Gravitational Lensing
8000400427001311.0,350.174707078177,11.925711328571,8000.0,400427.0,1311.0,PSF,0.9599999785423279,P8,6.4079999923706055,0.8849999904632568,1.0,0.0,Strong Gravitational Lensing
8000067461002485.0,0.495160551604,-52.685845069154,8000.0,67461.0,2485.0,REX,0.014000000432133675,R3,0.47699999809265137,0.09600000083446503,1.0,1.0,Low Surface Brightness Galaxy
8001641849002857.0,100.052736466378,70.04584154778,8001.0,641849.0,2857.0,EXP,0.004000000189989805,E1,0.39899998903274536,0.11400000005960464,1.0,1.0,Low Surface Brightness Galaxy
8001577519004170.0,100.113993315106,48.317249484778,8001.0,577519.0,4170.0,REX,0.003000000026077032,R7,1.0119999647140503,0.14399999380111694,1.0,1.0,Low Surface Brightness Galaxy
8001619484002943.0,100.732778411796,60.791267806,8001.0,619484.0,2943.0,PSF,0.9729999899864197,P4,2.24399995803833,0.9549999833106995,0.0,0.0,Low Surface Brightness Galaxy
8001637133000283.0,101.79986402733,67.661977837984,8001.0,637133.0,283.0,PSF,0.9959999918937683,P2,1.1390000581741333,1.9520000219345093,0.0,0.0,Low Surface Brightness Galaxy
8001575591000259.0,102.731142150036,47.63850010015,8001.0,575591.0,259.0,PSF,0.9980000257492065,P4,1.9709999561309814,1.1979999542236328,1.0,0.0,Low Surface Brightness Galaxy
8001655877001533.0,105.060332043144,78.966847658247,8001.0,655877.0,1533.0,PSF,0.7269999980926514,P8,4.4629998207092285,0.5740000009536743,0.0,0.0,Low Surface Brightness Galaxy
8001546615000421.0,105.093810119024,40.642529809838,8001.0,546615.0,421.0,REX,0.05700000002980232,R6,0.6819999814033508,0.11400000005960464,1.0,1.0,Low Surface Brightness Galaxy
8001544424001905.0,107.157863683375,40.205300729017,8001.0,544424.0,1905.0,PSF,0.014999999664723873,P6,0.4099999964237213,0.16500000655651093,1.0,1.0,Low Surface Brightness Galaxy
8001580406001635.0,107.32131874834,48.954977499379,8001.0,580406.0,1635.0,PSF,0.0010000000474974513,P9,1.093000054359436,0.32499998807907104,1.0,1.0,Low Surface Brightness Galaxy
8001528600003370.0,108.410799002181,36.776353071309,8001.0,528600.0,3370.0,REX,0.0,R5,1.36899995803833,0.26899999380111694,1.0,1.0,Low Surface Brightness Galaxy
8000061500002912.0,11.38042872766,-54.401078548969,8000.0,61500.0,2912.0,PSF,0.32600000500679016,P2,1.069000005722046,0.8389999866485596,1.0,0.0,Low Surface Brightness Galaxy
8000484342002873.0,11.513721970589,27.782566156384,8000.0,484342.0,2873.0,REX,0.003000000026077032,R7,0.6039999723434448,0.27399998903274536,0.0,0.0,Low Surface Brightness Galaxy
8000452888001954.0,11.856875179351,21.747964182037,8000.0,452888.0,1954.0,EXP,0.017000000923871994,E9,0.020999999716877937,0.007000000216066837,1.0,1.0,Low Surface Brightness Galaxy
8001593240001969.0,114.953301531857,52.491758389851,8001.0,593240.0,1969.0,EXP,0.008999999612569809,E3,0.4690000116825104,0.0430000014603138,1.0,1.0,Low Surface Brightness Galaxy
8001640865002590.0,116.192148585558,69.555805567436,8001.0,640865.0,2590.0,REX,0.006000000052154064,R1,0.6639999747276306,0.2540000081062317,1.0,1.0,Low Surface Brightness Galaxy
8001628259003448.0,118.665395452974,64.104291571751,8001.0,628259.0,3448.0,PSF,0.0,P7,0.9200000166893005,0.3240000009536743,1.0,1.0,Low Surface Brightness Galaxy
